00:00|"It starts at ^midnight^."|Catching Fire|Suzanne Collins|unknown
00:05|E.M. Security, normally so scrupulous with their fucking trucks at ^0005h.^, is nowhere around, lending weight to yet another cliché. If you asked Gately what he was feeling right this second he'd have no idea.|Infinite Jest|David Foster Wallace|nsfw
00:10|It was at ^ten minutes past midnight^. Three police cars, Alsations and a black maria arrive at the farmhouse. The farmer clad only in a jock-strap, refused them entry.|The Queue|Jonathan Barrow|unknown
00:15|At ^twelve-fifteen^ he got out of the van. He tucked the pistol under the waistband of his trousers and crossed the silent, deserted street to the Hudston house.|Watchers|Dean Koontz|unknown
00:20|...and I could smell the opium. There is no smell like it. Beside the bed the alarm-clock showed ^twelve-twenty^, but already my tension was over. Pyle had diminished.|The Quiet American|Graham Greene|unknown
00:25|I mean, look at the time! ^Twenty-five past midnight^! It was a triumph, it really was!|The Soldier's Wife|Joanna Trollope|unknown
00:30|"I love you more than you can possibly know." "I love you too." I smile and his lips linger on my cheek. As he walks down the hall, I note the time: ^half past midnight^.|Bath Haus|P.J. Vernon|unknown
00:35|Mrs. Gentrie looked at the clock. It was ^thirty-five minutes past midnight^.|The Case of the Empty Tin|Erle Stanley Gardner|unknown
00:40|We sat in the car park till ^twenty to one^/ And now I'm engaged to Miss Joan Hunter Dunn.|A Subaltern's Love Song|John Betjeman|unknown
00:45|At ^12.45^, during a lull, Mr. Yoshogi told me that owing to the war there were now many more women in England than men.|Pig and Pepper: A Comedy of Youth|David Footman|unknown
00:50|The packing was done at ^12.50^; and Harris sat on the big hamper, and said he hoped nothing would be found broken. George said that if anything was broken it was broken, which reflection seemed to comfort him.|Three Men in a Boat|Jerome K Jerome|unknown
00:55|He rolled one way, rolled the other, listened to the loud tick of the clock, and was asleep a minute later. ^Five to one in the morning^. Fifty-one hours to go.|61 Hours|Lee Child|unknown
01:00|^1.00 am.^ I felt the surrounding quietness suffocating me.|Sister|Rosamund Lupton|unknown
01:06|When he woke it was ^1:06^ by the digital clock on the bedside table. He lay there looking at the ceiling, the raw glare of the vaporlamp outside bathing the bedroom in a cold and bluish light. Like a winter moon.|No Country for Old Men|Cormac McCarthy|unknown
01:10|It was at ^ten minutes past one^ by Bond's watch when, at the high table, the whole pattern of play suddenly altered.|Casino Royale|Ian Fleming|unknown
01:15|Lily Chen always prepared an 'evening' snack for her husband to consume on his return at ^1.15am^.|Sour Sweet|Timothy Mo|unknown
01:20|Then it was ^1.20am^, but I hadn't heard Father come upstairs to bed. I wondered if he was asleep downstairs or whether he was waiting to come in and kill me. So I got out my Swiss Army Knife and opened the saw blade so that I could defend myself.|The Curious Incident Of The Dog In The Night-Time|Mark Haddon|unknown
01:25|He made a last effort; he tried to rise, and sank back. His head fell on the sofa cushions. It was then ^twenty-five minutes past one o'clock^.|The Moonstone|Wilkie Collins|unknown
01:30|"^Half-past one^", The street lamp sputtered, The street lamp muttered, The street lamp said, "Regard that woman ..."|Rhapsody on a Windy Night|TS Eliot|unknown
01:35|Two days later, the chime of his diary woke Merral in the middle of the night. He shook himself and peered at the clock on the diary screen. ^One thirty-five^. An extraordinary time for a message. Has the ship been sighted?|The Dark Foundations|Chris Walley|unknown
01:40|March twelfth, ^one-forty am^, she leaves a group of drinking buddies to catch a bus home. She never makes it.|Bones to Ashes|Kathy Reichs|unknown
01:44|She knew it was the stress, two long days of stress, and she looked at her watch, ^sixteen minutes to two^, and she almost leaped with fright, a shock wave rippling through her body, where had the time gone?|Trackers|Deon Meyer|unknown
01:50|No, she thought: every spinster legal secretary, bartender, and orthodontist had a cat or two-and she could not tolerate (not even as a lark, not even for a moment at ^ten minutes before two AM^), embodying cliché.|Dog|Michelle Herman|unknown
01:54|^Six minutes to two^. Janina Mentz watched the screen, where the small program window flickered with files scrolling too fast to read, searching for the keyword.|Trackers|Dean Koontz|unknown
02:00|As ^two o'clock^ pealed from the cathedral bell, Jean Valjean awoke.|Les Miserables |Victor Hugo|unknown
02:05|At ^2.05^ the fizzy tights came crackling off.|London Fields|Martin Amis|unknown
02:10|"^Ten minutes past two^, sir," answered the man, looking at the clock and blinking. "Ten minutes past two? How horribly late!"|The Picture of Dorian Gray|Oscar Wilde|unknown
02:15|At ^2.15am^ a policeman observed the place in darkness, but with the stranger's motor still at the curb.|The Shadow Out of Time|H.P. Lovecraft|unknown
02:20|^Twenty minutes after two^, on my way to San Diego, listening to some wierd, cacophanous music; no melodic line, no content.|Somewhere in Time (Bid Time Return)|Richard Matheson|unknown
02:25|You see it is time: ^2.25am.^ You get out of bed.|Nineteen Eighty-Three: The Red Riding Quartet, Book Four|David Peace|unknown
02:30|It is ^2.30am^ and I am tight. As a tick, as a lord, as a newt. Must write this down before the sublime memories fade and blur.|Any Human Heart|William Boyd|unknown
02:35|Rorschach's journal: Left Jacob's house ^2:35 a.m.^ He knows nothing about any attempt to discredit Dr. Manhattan. He has simply been used.|Watchmen|Alan Moore and Dave Gibbons|unknown
02:40|Miss Conover told investigators that at ^2:40 a.m.^, Officer Martin Willis entered the diner and ordered coffee and donut.|The Andromeda Strain|Michael Crichton|unknown
02:45|^0245h.^, Ennet House, the hours that are truly wee.|Infinite Jest|David Foster Wallace|unknown
02:50|When it was ^2:50^ and the bank, too, had not been attacked, it was clear this was not the day of the big coup.|The Locked Room|Maj Sjöwall & Per Wahlöö|unknown
02:55|Time to go: ^2.55am.^ Two-handed, Cec lifted his peak cap from the chair.|Downriver|Iain Sinclair|unknown
03:00|When Sophie awoke, it was ^3:00 a.m.^|Desperate Characters|Paula Fox|unknown
03:05|On the Sunday before Christmas she awoke at ^3:05 a.m.^ and thought: Thirty-six hours. Four hours later she got up thinking: Thirty-two hours.|The Corrections|Jonathan Franzen|unknown
03:10|Love again; wanking at ^ten past three^|Love Again|Philip Larkin|unknown
03:15|Above the door of Room 69 the clock ticked on at ^3:15^. The motion was accelerating. What had once been the gymnasium was now a small room, seven feet wide, a tight, almost perfect cube.|Manhole 69|JG Ballard|unknown
03:20|Prabath Kumara, 16. 17th November 1989. At ^3.20am^ from the home of a friend.|Anil's Ghost|Michael Ondaatje|unknown
03:25|It was ^3:25 a.m.^ A strange thrill, to think I was the only Mulvaney awake in the house.|We Were the Mulvaneys|Joyce Carol Oates|unknown
03:30|At ^Half past Three^, a single Bird Unto a silent Sky Propounded but a single term Of cautious melody.|At Half past Three, a single Bird|Emily Dickinson|unknown
03:35|He could just see the hands of the alarm clock in the darkness: ^3.35 a.m.^ He adjusted his pillow and shut his eyes.|The Dogs of Riga|Henning Mankell|unknown
03:40|His bedside clock shows ^three forty^. He has no idea what he's doing out of bed: he has no need to relieve himself, nor is he disturbed by a dream or some element of the day before, or even by the state of the world.|Saturday|Ian McEwan|unknown
03:45|Abra did not quiet. The crying was monotonous, maddening, terrifying. When they arrived at Bridgton Hospital, it was ^quarter of four^, and Abra was still at full volume. Rides in the Acura were usually better than a sleeping pill, but not this morning.|Doctor Sleep|Stephen King|unknown
03:50|She had used her cell phone to leave several messages on the answering machine in Sao Paulo of the young dentist of the previous evening, whose name was Fernando. The first was recorded at ^ten or five to four in the morning^.|A Death in Brazil: A Book of Omissions|Peter Robb|unknown
03:55|Here in the cavernous basement at ^3.55 a.m.^, in a single pool of light, is Theo Perowne.|Saturday|Ian McEwan|unknown
